tender_id,buyer_id,awardee_id,domain,value
T000612,E000602,E001235,luxury_dual_use_consumer,2692609
T000613,E000838,E001616,luxury_dual_use_consumer,2488497
T000614,E000625,E000372,research_links,2732088
T000615,E001735,E000452,intangibles,4629725
T000616,E001163,E001185,chemicals_precursors,2659460
T000617,E000963,E000842,energy_equipment,4302377
T000618,E000424,E000626,intangibles,4018020
T000619,E001293,E001413,services,820086
T000620,E000337,E001283,luxury_dual_use_consumer,19339
T000621,E000561,E000097,services,4987947
T000622,E000946,E001878,aerospace_uas_avionics,82849
T000623,E001884,E000087,luxury_dual_use_consumer,4256723
T000624,E000740,E000982,intangibles,4926030
T000625,E000516,E001235,medical_bio_lab,200805
T000626,E001419,E000862,energy_equipment,2472233
T000627,E000375,E000655,research_links,1219770
T000628,E001308,E000491,machine_tools,429221
T000629,E000696,E001734,aerospace_uas_avionics,3053885
T000630,E000947,E000828,medical_bio_lab,2945896
T000631,E001303,E001676,finance_signals,1865353
T000632,E001813,E001133,intangibles,1056931
T000633,E000908,E000703,medical_bio_lab,1461425
T000634,E001577,E000639,finance_signals,2271408
T000635,E001255,E000629,aerospace_uas_avionics,721736
T000636,E000469,E001547,aerospace_uas_avionics,1353567
T000637,E000281,E000620,aerospace_uas_avionics,2459483
T000638,E000193,E000763,finance_signals,3937995
T000639,E001792,E000868,maritime_port_equipment,2668901
T000640,E001806,E000502,procurement,2308887
T000641,E001927,E000196,machine_tools,520464
T000642,E000054,E001735,machine_tools,103034
T000643,E001182,E000986,aerospace_uas_avionics,2126115
T000644,E000765,E000836,intangibles,1568500
T000645,E001098,E000750,maritime_port_equipment,3786992
T000646,E000329,E000085,energy_equipment,1944061
T000647,E000465,E001411,intangibles,2246947
T000648,E000041,E001462,energy_equipment,3688541
T000649,E001381,E000287,intangibles,1759359
T000650,E000557,E001238,research_links,1441626
T000651,E000477,E001600,maritime_port_equipment,4023844
T000652,E000255,E000362,luxury_dual_use_consumer,661431
T000653,E000218,E001317,luxury_dual_use_consumer,2556888
T000654,E000020,E001188,medical_bio_lab,3735591
T000655,E001330,E000965,luxury_dual_use_consumer,1677802
T000656,E001916,E001484,services,1622408
T000657,E001582,E000764,machine_tools,2718274
T000658,E000140,E001992,aerospace_uas_avionics,2082750
T000659,E001499,E000103,intangibles,1974104
T000660,E001410,E001621,finance_signals,4791217
T000661,E000572,E000348,aerospace_uas_avionics,1134706
T000662,E001157,E000395,aerospace_uas_avionics,2219548
T000663,E001251,E001331,luxury_dual_use_consumer,533772
T000664,E000125,E000960,aerospace_uas_avionics,1807269
T000665,E000547,E001278,energy_equipment,274247
T000666,E000922,E000404,aerospace_uas_avionics,2384256
T000667,E000395,E000209,maritime_port_equipment,2513482
T000668,E000140,E001547,maritime_port_equipment,4377663
T000669,E001921,E001818,intangibles,1403851
T000670,E000720,E001014,intangibles,4029033
T000671,E000380,E000623,luxury_dual_use_consumer,1178368
T000672,E001475,E000977,services,4190802
T000673,E001892,E000393,energy_equipment,4416581
T000674,E001276,E001987,energy_equipment,4588413
T000675,E000604,E001753,procurement,2346974
T000676,E000230,E000601,aerospace_uas_avionics,3787725
T000677,E000474,E000444,medical_bio_lab,2330410
T000678,E001989,E000135,services,520561
T000679,E000586,E000357,medical_bio_lab,4212751
T000680,E001429,E001691,machine_tools,2524716
T000681,E000567,E001962,machine_tools,4461552
T000682,E001219,E000654,medical_bio_lab,4064603
T000683,E001135,E001623,finance_signals,1819356
T000684,E000956,E000787,chemicals_precursors,1559174
T000685,E000603,E000852,procurement,415376
T000686,E000388,E001799,intangibles,327685
T000687,E001983,E001230,machine_tools,4950921
T000688,E001294,E001795,research_links,2252658
T000689,E001630,E001087,intangibles,3419053
T000690,E000361,E000734,procurement,672955
T000691,E000713,E000341,procurement,285009
T000692,E000985,E000522,finance_signals,1294269
T000693,E001687,E001557,medical_bio_lab,4942577
T000694,E001502,E001661,maritime_port_equipment,971792
T000695,E000399,E000828,services,3222325
T000696,E000268,E001113,aerospace_uas_avionics,3695437
T000697,E001252,E000006,machine_tools,2989583
T000698,E000587,E001740,energy_equipment,835310
T000699,E000449,E000925,finance_signals,3626916
T000700,E001416,E001527,research_links,4929528
T000701,E000803,E001117,luxury_dual_use_consumer,3628248
T000702,E001573,E001487,energy_equipment,3551666
T000703,E000068,E000938,maritime_port_equipment,2674085
T000704,E000736,E001825,machine_tools,3312332
T000705,E000426,E000316,luxury_dual_use_consumer,3516158
T000706,E000968,E001861,medical_bio_lab,22252
T000707,E001172,E001609,services,1022304
T000708,E001569,E001696,medical_bio_lab,4541650
T000709,E001235,E000131,machine_tools,3812135
T000710,E000782,E001755,machine_tools,3673566
T000711,E000010,E001283,research_links,1783398
T000712,E000872,E000939,research_links,2988719
T000713,E001369,E001322,energy_equipment,775116
T000714,E000957,E001819,maritime_port_equipment,1090256
T000715,E000224,E001827,aerospace_uas_avionics,4634243
T000716,E000115,E000092,intangibles,2321113
T000717,E001031,E000245,intangibles,1920994
T000718,E001841,E001138,maritime_port_equipment,4020158
T000719,E000764,E001727,machine_tools,1963462
T000720,E000822,E001196,intangibles,4243393
T000721,E000689,E000764,energy_equipment,1934227
T000722,E000773,E000226,machine_tools,4035265
T000723,E001881,E000056,services,4119452
T000724,E000763,E001694,finance_signals,2040566
T000725,E001437,E000081,maritime_port_equipment,3893879
T000726,E001123,E000117,procurement,2531215
T000727,E000813,E001186,finance_signals,2383150
T000728,E001846,E001431,research_links,2373979
T000729,E001750,E000446,medical_bio_lab,3463427
T000730,E001291,E001171,maritime_port_equipment,3861063
T000731,E001283,E000503,research_links,3698834
T000732,E001846,E000650,medical_bio_lab,3025588
T000733,E000124,E001760,services,1828333
T000734,E000133,E001889,machine_tools,3461167
T000735,E001003,E001991,services,2201660
T000736,E001138,E000353,energy_equipment,1603693
T000737,E001620,E000171,medical_bio_lab,4309022
T000738,E000752,E000664,energy_equipment,4924113
T000739,E000850,E001986,aerospace_uas_avionics,1303691
T000740,E000485,E001295,machine_tools,570154
T000741,E000074,E000091,research_links,2915138
T000742,E000695,E001589,research_links,735752
T000743,E001276,E000135,luxury_dual_use_consumer,4451516
T000744,E001039,E000954,energy_equipment,1279862
T000745,E000628,E001591,medical_bio_lab,2709961
T000746,E000126,E001584,services,1407757
T000747,E001161,E001266,machine_tools,1021505
T000748,E001296,E001300,maritime_port_equipment,2133854
T000749,E000597,E001320,luxury_dual_use_consumer,1492963
T000750,E000126,E000057,machine_tools,1996808
T000751,E001418,E000460,energy_equipment,722388
T000752,E001067,E000767,aerospace_uas_avionics,1064037
T000753,E001560,E001916,aerospace_uas_avionics,3349037
T000754,E000080,E001687,procurement,2218140
T000755,E000310,E000782,procurement,4412912
T000756,E000821,E000142,research_links,1732139
T000757,E000400,E000363,intangibles,3117426
T000758,E001231,E000926,chemicals_precursors,2745846
T000759,E001509,E000885,aerospace_uas_avionics,3900589
T000760,E001239,E000377,finance_signals,1360328
T000761,E000443,E000066,medical_bio_lab,690974
T000762,E001561,E000810,chemicals_precursors,4885961
T000763,E000100,E001365,finance_signals,421219
T000764,E001541,E001919,research_links,64239
T000765,E000144,E001594,research_links,2799075
T000766,E000265,E001519,aerospace_uas_avionics,3189034
T000767,E001579,E001674,energy_equipment,3824247
T000768,E001462,E000502,energy_equipment,3081792
T000769,E000617,E001990,research_links,373376
T000770,E000009,E000197,energy_equipment,31083
T000771,E001684,E001454,research_links,3004445
T000772,E001003,E000162,services,4182815
T000773,E001970,E000740,machine_tools,4954498
T000774,E000826,E000414,intangibles,598148
T000775,E000125,E001412,medical_bio_lab,2255680
T000776,E000008,E000605,luxury_dual_use_consumer,4204749
T000777,E001758,E000632,medical_bio_lab,4626102
T000778,E001366,E001011,finance_signals,268946
T000779,E001733,E001805,services,2574300
T000780,E000845,E001390,medical_bio_lab,1192241
T000781,E000234,E000636,chemicals_precursors,4890442
T000782,E001229,E000410,chemicals_precursors,4079746
T000783,E001881,E001031,research_links,1801235
T000784,E001215,E000301,energy_equipment,4700335
T000785,E000362,E001446,medical_bio_lab,4871762
T000786,E000551,E001311,research_links,3301868
T000787,E001112,E001090,services,1066506
T000788,E000208,E001550,chemicals_precursors,557046
T000789,E001482,E001521,research_links,930057
T000790,E001569,E001723,research_links,4297735
T000791,E000238,E000976,energy_equipment,604945
T000792,E001276,E001064,medical_bio_lab,897370
T000793,E000464,E000675,procurement,4419428
T000794,E001891,E001849,machine_tools,2052709
T000795,E000600,E001303,finance_signals,4418580
T000796,E001509,E000684,procurement,4552286
T000797,E000126,E000475,services,677418
T000798,E001123,E000931,energy_equipment,2525190
T000799,E001153,E001047,maritime_port_equipment,4574845
